Date,Close,High,Low,Open,Volume
2024-03-25,31049.1171875,32173.730880905514,30902.42844488189,31635.87215797244,7721300
2024-03-26,31978.146484375,31978.146484375,31049.117763880924,31098.01401232798,4067100
2024-03-27,31782.560546875,32662.69299278846,31635.871805889423,32662.69299278846,5074200
2024-03-28,31489.18359375,31880.353576281057,31440.28734593362,31880.353576281057,3869800
2024-03-29,31635.87109375,32564.899765745748,31586.974847855487,31880.352323222563,6701700
2024-04-01,32124.833984375,32467.107710235923,31586.97527230784,31684.76776541096,6560400
2024-04-02,34129.58203125,34129.58203125,31586.977066171203,32173.732058112466,15201400
2024-04-03,33151.65625,34129.58121312684,33151.65625,34129.58121312684,5738400
2024-04-04,32809.3828125,33689.515287350965,32809.3828125,33298.345298528315,7512600
2024-04-05,32173.73046875,33542.82538231383,32075.937974924014,32809.38167861892,11695900
2024-04-08,32173.73046875,32760.48543170593,31880.35298727204,32271.52296257599,5207500
2024-04-09,32467.107421875,32662.692406344126,31978.144960702186,32271.522437405874,4375900
2024-04-10,31098.013671875,32564.901109227594,31098.013671875,32516.00486131584,10029200
2024-04-11,31244.701171875,31538.07864766725,30706.84246625587,30902.427450117368,5663500
2024-04-12,32075.9375,32075.9375,31146.908822408535,31391.390053353658,3333100
2024-04-15,29875.607421875,32711.58979580094,29875.607421875,32516.004804495704,13390100
2024-04-16,30120.087890625,30217.880383776377,28897.68172623275,29973.39915089793,9195100
2024-04-17,28702.09765625,30315.6738447615,28702.09765625,30315.6738447615,4591700
2024-04-19,28653.201171875,29631.126126546504,28164.23869453925,28457.616180940702,7167600
2024-04-22,28946.578125,29093.26686549831,28506.511903505067,28897.68187816723,3089200
2024-04-23,28457.615234375,29044.370187661083,27919.756527196092,29044.370187661083,5208000
2024-04-24,29533.333984375,29582.230232693502,28506.512769686466,28555.409018004968,4396500
2024-04-25,29239.955078125,29582.228799775294,28897.681356474706,29337.747570025083,2602300
2024-04-26,29093.267578125,29484.437562368697,28848.78633797269,28848.78633797269,3920200
2024-05-02,28897.681640625,29239.955365640864,28408.719176316627,29093.26662634835,2762300
2024-05-03,29142.1640625,29533.334049916106,28946.579068791947,29044.37156564597,4410000
2024-05-06,29924.50390625,30071.192650888483,29239.956431270424,29533.333920547386,4449600
2024-05-07,29875.607421875,30120.088661006546,29728.918678396072,30120.088661006546,2860500
2024-05-08,30902.427734375,31684.767677017408,29533.332834750792,29875.606559656844,9657700
2024-05-09,31000.220703125,31098.013197456625,30413.46573713525,30951.324455959188,3498700
2024-05-10,31440.287109375,31831.45708896287,30413.465912956843,30804.635892544713,7192200
2024-05-13,31391.390625,31684.768107476637,31000.220648364488,31586.975613317758,4038700
2024-05-14,31195.806640625,31489.184132543105,30902.4291487069,31440.287883890087,2490900
2024-05-15,31195.806640625,31684.769127155174,31049.11789466595,31244.702889278018,4134600
2024-05-16,31880.353515625,32222.62724968846,31244.702295221436,31440.28728611484,10228000
2024-05-17,31880.353515625,32564.90098375192,31831.45726790165,32075.938506518403,6441000
2024-05-20,31635.87109375,32271.52229037867,31586.974847855487,32075.937306800617,5915400
2024-05-21,32173.73046875,32173.73046875,31440.286765055094,31635.87175270707,5570600
2024-05-22,31782.560546875,32711.58923978365,31684.768052884614,32467.10800480769,6518300
2024-05-23,32271.5234375,32516.00467566288,31586.97597064394,31880.353456439392,5996900
2024-05-24,31000.220703125,33151.65557842074,30413.46573713525,31978.145646441244,11273600
2024-05-27,31244.701171875,31293.597417840374,30706.84246625587,31293.597417840374,3728300
2024-05-28,31391.390625,31635.871860397197,31049.116895443927,31489.18311915888,4676100
2024-05-29,30951.32421875,31635.87167382504,30609.05049121248,31489.182933451815,5738800
2024-05-30,31293.59765625,31293.59765625,30120.087744140626,30706.842700195313,6355400
2024-05-31,30951.32421875,31293.59794628752,30804.63547837678,31244.701699496447,2664300
2024-06-03,31586.9765625,31586.9765625,31000.22157991486,31195.80657410991,5585400
2024-06-04,31538.080078125,32075.938808139534,31489.18382994186,31684.768822674418,7673800
2024-06-05,31000.220703125,31880.35315210962,31000.220703125,31538.079421948933,4915000
2024-06-06,31098.013671875,31440.28740725727,30706.843688580975,31146.90991978675,3585400
2024-06-07,31000.220703125,31440.286927617308,30951.324455959188,31195.80569178825,3210200
2024-06-10,31098.013671875,31684.768646816035,30951.32492813974,31098.013671875,4982700
2024-06-11,31391.390625,31586.975613317758,31146.909389602806,31489.18311915888,4732800
2024-06-12,31733.6640625,32075.93778890601,31586.97532261171,31635.87156924114,4996700
2024-06-13,31489.18359375,32075.938567546586,31489.18359375,32075.938567546586,3620800
2024-06-14,30511.2578125,31733.663974859777,30511.2578125,31635.871481870996,6359700
2024-06-17,30364.5703125,30804.636548913044,30315.67406400966,30755.740300422705,4439500
2024-06-18,30706.84375,30902.428742038217,30560.155005971337,30902.428742038217,2455700
2024-06-19,30755.740234375,30902.428979531,30511.25899244833,30902.428979531,2338100
2024-06-20,30657.947265625,31049.117246685604,30462.362275094696,30853.532256155304,2079600
2024-06-21,30755.740234375,30951.325227916335,30413.46649567766,30902.428979531,2965100
2024-06-24,28946.578125,30706.84301097973,28946.578125,30706.84301097973,6942600
2024-06-25,29239.955078125,29337.747570025083,28848.785110524666,29044.370094324833,2857400
2024-06-26,29093.267578125,29239.95632221639,28555.408849789917,29142.16382615546,2898800
2024-06-27,29093.267578125,29142.16382615546,28848.78633797269,29142.16382615546,1257800
2024-06-28,28164.23828125,29239.9557156033,28164.23828125,29142.163221571183,4460600
2024-07-01,28750.994140625,28750.994140625,28115.34290962479,28310.927903778702,1770100
2024-07-02,29093.267578125,29191.060074185923,28702.097593881303,28897.682586003153,2334100
2024-07-03,29337.748046875,29435.540540364582,28946.578072916665,29142.163059895833,2341100
2024-07-04,29239.955078125,29582.228799775294,28995.47384837479,29288.85132407504,1826000
2024-07-05,29239.955078125,29386.643815975127,28946.57760242475,29239.955078125,2075200
2024-07-08,29631.125,29973.39872112211,29239.955033003298,29337.747524752474,4669600
2024-07-09,29875.607421875,30071.192413180237,29484.437439264526,29728.918678396072,2909600
2024-07-10,29386.64453125,30022.29574407238,29337.748284109817,30022.29574407238,2580500
2024-07-11,29142.1640625,29631.126546770134,29142.1640625,29484.437801489094,1899100
